1000.0,100.0,50.0,50.0,2,1024
1000.0,100.0,50.0,50.0,2,1024
1000.0,100.0,50.0,50.0,0,256
1000.0,100.0,50.0,50.0,1,512
1000.0,100.0,50.0,50.0,2,1024
1000.0,100.0,50.0,50.0,0,256
1000.0,100.0,50.0,50.0,2,1024
1000.0,100.0,50.0,50.0,2,1024
1000.0,100.0,50.0,50.0,1,512
1000.0,100.0,50.0,50.0,2,1024
1000.0,100.0,50.0,50.0,1,512
1000.0,100.0,50.0,50.0,0,256
1000.0,100.0,50.0,50.0,0,256
1000.0,100.0,50.0,50.0,1,512
100.0,100.0,50.0,50.0,2,1024
100.0,100.0,50.0,50.0,1,512
100.0,100.0,50.0,50.0,2,1024
100.0,100.0,50.0,50.0,0,256
100.0,100.0,50.0,50.0,1,512
100.0,100.0,50.0,50.0,2,1024
100.0,100.0,50.0,50.0,1,512
100.0,100.0,50.0,50.0,1,512
